SKU ID,2023 PTUs,PTU/HR,PTU/shift,# of people on Line,Base  Direct Labor Rate ($/hr),QA Tech,Line Lead,Production FLO,Warehouse FLO,"Supervisors, Trainers, Donor Coordinator, Donor Receivers, FG Leads, Baler MO",Cleaning,Total Flex Cost,Total Unit Cost (Direct + Flex)
429545046,0,93.75,750,7,16.85,0.292152522,0.507081111,0.204960818,0.219513918,0.404057026,1.467209417,3.094974812,4.94
429545089,0,93.75,750,7,16.85,0.292152522,0.507081111,0.204960818,0.219513918,0.404057026,1.467209417,3.094974812,4.94
424679983,0,275.0666667,2200.533333,7,16.85,0.099573312,0.172826663,0.069856071,0.074816153,0.137713328,0.096545326,0.651330853,1.28
425486792,0,210,1680,7,16.85,0.130425233,0.226375496,0.091500365,0.097997285,0.180382601,0.126459052,0.853140032,1.68
425513710,0,108,864,9,16.85,0.25360462,0.440174575,0.177917377,0.190550276,0.350743946,0.245892601,1.658883396,3.72
426239163,0,87.46666667,699.7333333,10,16.85,0.313139851,0.543508241,0.219684566,0.235283115,0.433083227,0.303617389,2.048316388,4.88
426539389,0,210,1680,9,16.85,0.130425233,0.226375496,0.091500365,0.097997285,0.180382601,0.126459052,0.853140032,1.91
426569231,11372,87.46666667,699.7333333,7,16.85,0.313139851,0.543508241,0.219684566,0.235283115,0.433083227,0.303617389,2.048316388,4.03
426996565,33280,260,2080,6,16.85,0.105343457,0.182841747,0.073904141,0.079151653,0.145693639,0.102140004,0.689074641,1.26
426997339,359476,281.25,2250,5,16.85,0.097384174,0.169027037,0.068320273,0.073171306,0.134685675,0.094422759,0.637011224,1.08
427001682,89700,460,3680,11,16.85,0.059541954,0.103345335,0.041771906,0.044737891,0.082348579,0.057731306,0.389476971,0.98
427072718,0,6.533333333,52.26666667,10,16.85,4.192239632,7.276355225,9.803610559,3.149912726,5.798012176,4.064755246,34.28488556,72.2
427073148,0,6.533333333,52.26666667,10,16.85,4.192239632,7.276355225,9.803610559,3.149912726,5.798012176,4.064755246,34.28488556,72.2
427342328,0,287.4666667,2299.733333,4,16.85,0.095278173,0.16537171,0.066842799,0.071588926,0.131773004,0.092380801,0.623235413,0.97
427488356,4120,6,48,10,16.85,4.564883154,7.923142357,10.67504261,3.429904968,6.313391037,4.426066824,37.33243095,78.62
428477700,0,140,1120,9,16.85,0.195637849,0.339563244,0.137250548,0.146995927,0.270573902,0.189688578,1.279710048,2.87
428549596,12211,250,2000,11,16.85,0.109557196,0.190155417,0.076860307,0.082317719,0.151521385,0.106225604,0.716637627,1.81
428549811,0,150,1200,11,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,3.01
428750105,14286,195,1560,7,16.85,0.140457943,0.243788996,0.098538855,0.105535537,0.194258186,0.136186671,0.918766188,1.81
428750965,0,250,2000,11,16.85,0.109557196,0.190155417,0.076860307,0.082317719,0.151521385,0.106225604,0.716637627,1.81
428755480,10137,105.625,845,11,16.85,0.259306972,0.450071992,0.181917886,0.194834838,0.358630497,0.251421547,1.696183732,4.28
428859798,0,159.3333333,1274.666667,10,16.85,0.171899366,0.298361009,0.120596716,0.129159601,0.237742759,0.166671972,1.124431423,2.68
428862851,0,195.0666667,1560.533333,10,16.85,0.14040994,0.243705677,0.098505178,0.105499469,0.194191795,0.136140128,0.918452188,2.19
428862937,0,195.0666667,1560.533333,10,16.85,0.14040994,0.243705677,0.098505178,0.105499469,0.194191795,0.136140128,0.918452188,2.19
428897724,0,260,2080,9,16.85,0.105343457,0.182841747,0.073904141,0.079151653,0.145693639,0.102140004,0.689074641,1.55
428920471,3481,150,1200,8,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.52
428928340,0,193.75,1550,10,16.85,0.141364123,0.245361828,0.099174589,0.106216412,0.195511464,0.137065295,0.924693712,2.2
